                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.67492,                  0.411,                 0.9898,                0.96314,                      1,                  0.995,                 0.8955,                0.55838,                 0.3725,                 1.0177,             0.00085834,             0.00085834,             0.00085834
                     51,                0.64167,                0.37134,                0.94561,                0.96373,                      1,                  0.995,                 0.8955,                 0.6004,                0.37204,                 1.0433,             0.00084184,             0.00084184,             0.00084184
                     52,                0.66269,                0.37733,                0.97042,                0.95987,                      1,                  0.995,                 0.8955,                0.67906,                0.29944,                 1.1105,             0.00082533,             0.00082533,             0.00082533
                     53,                0.66675,                0.37997,                0.96048,                0.93602,                      1,                  0.995,                0.84575,                0.77909,                0.28253,                 1.1216,             0.00080883,             0.00080883,             0.00080883
                     54,                0.66844,                0.38502,                 0.9617,                0.96339,                      1,                  0.995,                0.84575,                0.74965,                0.32075,                 1.0769,             0.00079233,             0.00079233,             0.00079233
                     55,                0.63852,                0.36655,                0.92531,                0.96396,                      1,                  0.995,                 0.8955,                0.66726,                0.26425,                 1.0447,             0.00077582,             0.00077582,             0.00077582
                     56,                0.63965,                 0.3757,                0.94828,                 0.9709,                      1,                  0.995,                0.84575,                0.72884,                0.29748,                 1.1105,             0.00075932,             0.00075932,             0.00075932
                     57,                0.62591,                0.37701,                0.95502,                0.96045,                      1,                  0.995,                 0.8955,                0.64432,                0.29962,                 1.0758,             0.00074282,             0.00074282,             0.00074282
                     58,                0.66614,                0.38022,                0.99032,                0.98618,                      1,                  0.995,                0.84575,                0.58402,                0.31742,                 1.0316,             0.00072631,             0.00072631,             0.00072631
                     59,                0.63813,                0.37578,                0.95258,                      1,                      1,                  0.995,                0.84575,                0.72456,                0.27705,                 1.1195,             0.00070981,             0.00070981,             0.00070981
                     60,                0.64291,                0.36492,                0.97713,                0.98565,                      1,                  0.995,                 0.8955,                0.66911,                0.25353,                 1.0665,             0.00069331,             0.00069331,             0.00069331
                     61,                0.62622,                0.35725,                0.95208,                0.98564,                      1,                  0.995,                 0.8955,                0.60474,                0.23562,                 1.0237,              0.0006768,              0.0006768,              0.0006768
                     62,                0.60067,                0.33265,                0.92894,                0.96474,                      1,                  0.995,                 0.8955,                0.60021,                0.26143,                 1.0279,              0.0006603,              0.0006603,              0.0006603
                     63,                0.61818,                 0.3521,                0.95646,                0.96315,                      1,                  0.995,                0.84575,                0.63627,                0.26347,                 1.0122,              0.0006438,              0.0006438,              0.0006438
                     64,                0.63848,                 0.3618,                0.96435,                0.98533,                      1,                  0.995,                0.84575,                 0.6254,                 0.2914,                 1.0361,             0.00062729,             0.00062729,             0.00062729
                     65,                0.58888,                0.33407,                  0.913,                0.95835,                      1,                  0.995,                0.84575,                0.60803,                0.24208,                 1.0807,             0.00061079,             0.00061079,             0.00061079
                     66,                0.65457,                0.37339,                0.98031,                0.96606,                      1,                  0.995,                0.84575,                0.73754,                0.24778,                 1.1179,             0.00059429,             0.00059429,             0.00059429
                     67,                0.61061,                0.34786,                0.94957,                 0.9684,                      1,                  0.995,                0.84575,                0.79367,                0.24613,                 1.1791,             0.00057778,             0.00057778,             0.00057778
                     68,                0.63434,                0.35097,                0.96731,                0.96218,                      1,                  0.995,                 0.8955,                0.66755,                0.21526,                  1.074,             0.00056128,             0.00056128,             0.00056128
                     69,                0.62748,                0.36983,                0.96574,                0.95855,                      1,                  0.995,                0.84575,                0.71111,                0.23155,                 1.0914,             0.00054478,             0.00054478,             0.00054478
                     70,                0.61942,                0.35034,                0.93532,                 0.9618,                      1,                  0.995,                0.84575,                0.86333,                0.25431,                 1.1852,             0.00052827,             0.00052827,             0.00052827
                     71,                0.64114,                0.36712,                0.96096,                0.96343,                      1,                  0.995,                0.84575,                0.77436,                0.27779,                 1.1208,             0.00051177,             0.00051177,             0.00051177
